127.0.0.1 - - [26/Feb/2020:10:08:44 +0800] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:08:46 +0800] "GET /ZYT_UI5_1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:09:10 +0800] "GET /ZYT_UI5_1/resources/sap/ui/core/themes/sap_platium/library.css HTTP/1.1" 200 74429
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:09:10 +0800] "GET /ZYT_UI5_1/resources/sap/m/themes/sap_platium/library.css HTTP/1.1" 200 487236
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:09:10 +0800] "GET /ZYT_UI5_1/resources/sap/ui/core/themes/sap_goldreflection/library.css HTTP/1.1" 200 74429
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:09:10 +0800] "GET /ZYT_UI5_1/resources/sap/ui/layout/themes/sap_platium/library.css HTTP/1.1" 200 160566
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:09:10 +0800] "GET /ZYT_UI5_1/resources/sap/ui/layout/themes/sap_goldreflection/library.css HTTP/1.1" 200 160566
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:09:10 +0800] "GET /ZYT_UI5_1/resources/sap/m/themes/sap_goldreflection/library.css HTTP/1.1" 200 487236
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:09:10 +0800] "GET /ZYT_UI5_1/resources/sap/ui/core/themes/sap_hcb/library.css HTTP/1.1" 200 79579
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:09:10 +0800] "GET /ZYT_UI5_1/resources/sap/ui/layout/themes/sap_hcb/library.css HTTP/1.1" 200 162452
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:09:10 +0800] "GET /ZYT_UI5_1/resources/sap/m/themes/sap_hcb/library.css HTTP/1.1" 200 550214
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:27 +0800] "GET /ZYT_UI5_1/ HTTP/1.1" 200 3538
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:27 +0800] "GET /ZYT_UI5_1/resources/sap-ui-core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:27 +0800] "GET /ZYT_UI5_1/resources/sap/base/strings/NormalizePolyfill.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:27 +0800] "GET /ZYT_UI5_1/resources/sap/ui/thirdparty/unorm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:27 +0800] "GET /ZYT_UI5_1/resources/sap/ui/thirdparty/unormdata.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:27 +0800] "GET /ZYT_UI5_1/resources/sap/ui/core/library-preload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:27 +0800] "GET /ZYT_UI5_1/resources/sap/m/library-preload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:27 +0800] "GET /ZYT_UI5_1/resources/sap/ui/library-preload.js HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:27 +0800] "GET /ZYT_UI5_1/resources/sap/ui/library-preload.json HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:28 +0800] "GET /ZYT_UI5_1/resources/sap/ui/core/themes/sap_belize/library.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:28 +0800] "GET /ZYT_UI5_1/resources/sap/ui/library.js HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:28 +0800] "GET /ZYT_UI5_1/resources/sap/m/themes/sap_belize/library.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:28 +0800] "GET /ZYT_UI5_1/resources/sap/ui/core/themes/sap_belize/fonts/72-Regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2020:10:13:28 +0800] "GET /ZYT_UI5_1/resources/sap/ui/core/themes/sap_belize/fonts/72-Bold.woff HTTP/1.1" 304 -
